Unnamed: 0,combined_pvalue,adjusted_pvalue,genes
769,3710,5.55e-17,3.0053560136053704e-15,RPS27A
770,3713,5.55e-17,3.0053560136053704e-15,CCDC88A
771,3714,5.23774031848667e-05,0.0012295195291098,CFAP36
773,3718,3.13082892944294e-14,1.30794931698793e-12,EFEMP1
774,3723,1.36579560994221e-08,4.21608727314531e-07,CCDC85A
775,3735,1.11022302462516e-16,5.3329264322189e-15,BCL11A
781,3757,4.18035575489029e-07,1.17226596493601e-05,EHBP1
782,3762,5.55e-17,3.0053560136053704e-15,MDH1
783,3763,2.2204460492503099e-16,1.00733054830801e-14,UGP2
788,3784,3.4202640719627198e-12,1.29945172060573e-10,RAB1A
789,3785,0.0016106099422208,0.0318709691452753,ACTR2
792,3812,5.55e-17,3.0053560136053704e-15,PPP3R1
793,3815,4.28898088600249e-07,1.20107706860953e-05,CNRIP1
796,3830,2.2204460492503099e-16,1.00733054830801e-14,AAK1
801,3843,2.72367373099769e-09,8.79332852273272e-08,SNRPG
803,3848,3.67300634351864e-11,1.3224611188471501e-09,ADD2
805,3862,0.0021183298374072,0.0412382676242782,NAGK
806,3866,5.55e-17,3.0053560136053704e-15,PAIP2B
808,3870,1.68863251603923e-07,4.84171751022807e-06,CYP26B1
810,3873,1.30503123862979e-08,4.03054469019507e-07,EMX1
811,3875,9.450915605668801e-10,3.14402249091687e-08,SFXN5
812,3876,9.98709167210343e-06,0.0002505412318147,RAB11FIP5
816,3881,4.33483322226369e-06,0.0001119240085655,FBXO41
818,3889,1.11022302462516e-16,5.3329264322189e-15,STAMBP
820,3896,1.7025270082626798e-11,6.254951662780331e-10,BOLA3
821,3903,0.0004028195718417,0.0085453396106021,DCTN1
826,3933,1.57149282103974e-05,0.0003845183759636,POLE4
828,3944,2.2204460492503099e-16,1.00733054830801e-14,LRRTM4
829,3955,5.55e-17,3.0053560136053704e-15,CTNNA2
830,3958,1.11022302462516e-16,5.3329264322189e-15,LRRTM1
832,3969,5.55e-17,3.0053560136053704e-15,TMSB10
833,3970,0.0023157512608356,0.0448392422626137,KCMF1
835,3974,3.04602693279588e-06,7.96548815000095e-05,RETSAT
836,3979,1.5543122344752201e-15,6.8140828070943e-14,MAT2A
838,3983,9.81084102846808e-11,3.4512229447053303e-09,RNF181
841,3996,3.84689659693738e-06,9.97461558147942e-05,IMMT
843,3999,6.03961325396085e-14,2.48416237299331e-12,REEP1
847,4027,5.55e-17,3.0053560136053704e-15,IGKC
848,4117,1.11022302462516e-16,5.3329264322189e-15,MAL
850,4124,0.0005542589814581,0.011609163257635,KCNIP3
853,4139,0.0005436989083937,0.0114035785179996,TMEM127
858,4156,1.11022302462516e-16,5.3329264322189e-15,SEMA4C
860,4176,5.55e-17,3.0053560136053704e-15,COX5B
861,4177,0.00037530861443,0.0079866249554563,ACTR1B
863,4184,0.0002897081480326,0.0062762531014617,INPP4A
867,4189,5.55e-17,3.0053560136053704e-15,KIAA1211L
